name;ingredients;ingredients_amount;location;servings;time;file_path
General Tso's Tofu;Honey,Louisiana Hot Sauce,Tofu,Sesame Seed,Corn Starch,Canola Oil,Fresh Ginger,Garlic,Chinese Red Chilli Peppers,Bell Pepper,Shaoxing Cooking Wine,Vegetable Stock,Broccoli,Light Soy Sauce,Dark Soy Sauce,Rice Vinegar,Salt,Sugar,Sesame Oil,Corn Starch;1 1/2 tbsp ,2 tsp ,450g ,1 1/2 tbsp ,3 tbsp ,1/3 cup ,1/2 tsp ,2 cloves ,7 whole dried ,1/2 ,1/2 tbsp ,1 cup ,1 ,1 1/2 tbsp ,1 tsp ,2 tsp ,1/4 tsp ,1 tbsp ,1/2 tsp ,1 1/2 tbsp ;1. Mix the honey and louisiana hot sauce in a bowl until combined. Add the tofu to the bowl, and toss together with a spatula until the tofu is well-coated. 2. Sprinkle the sesame seeds over the tofu, and tuss until evenly distributed. Sprinkle the cornstarch over the tofu until lightly coated. 3. Heat oil in a medium-sized frying pan until the oil is hot.  4. Carefully place the tofu into the pan, ensuring that the pieces do not touch. Turn them over to continue frying on the other side. Continue until a nice crust is formed and they turn golden brown. 5. Heat your wok over medium heat, add 1 tbsp of the tofu-frying liquid. Add the ginger, the garlic, and the dried chilli peppers. Stir in the red bell peppers and the shaoxing wine. 6. Add the vegetable stock, and let the mixture come up to a boil. Add the broccoli. 7. Immediately add the soy sauces, rice vinegar, salt, sugar, and sesame oil. Let come to a boil. Then, add the cornstarch mixture - depending on how thick you want your sauce, add more or less of this mixture. > [!note] Give it 30 seconds to a minute between addtions, as it takes some time for the sauce to thicken. 8. Toss in the fried tofu, and give a quick stir. > [!tip] Serve with steamed rice (~75g per person)  ;Asian;14;30 minutes;recipe-book-main\Recipes\Asian\General Tso's Tofu.md
Mushroom Fried Rice;Shiitake Mushrooms,Light Soy Sauce,Salt,MSG,Sugar,White Pepper,Shaoxing Cooking Wine,Sesame Oil,Rice,Canola Oil,Red Onion,Scallions,Button Mushrooms,Oyster Mushrooms,Chilli Oil;12g ,1 tbsp ,1 tsp ,1/2 tsp ,1/4 tsp ,1/8 tsp ,1 tbsp ,1/4 tsp ,700g ,3 1/2 tbsp ,1/3 cups ,2 ,150g ,100g ,. Serve with ;1. Take your soaked shiitake mushrooms, and squeeze out any excess water. Trim away any tough stems, thinly slice, and set aside. 2. In a small bowl, combine the hot water, light soy sauce, salt, MSG, sugar, and white pepper. 3. In a **separate** bowl, add the eggs, 1/2 tsp shaoxing wine, sesame oil, and a large pinch of salt. Combine. 4. Fluff your cooked rice. 5. Heat a wok and some oil over medium high heat. Add the seasoned eggs and scramble until they're just barely cooked. Remove from the wok, and set aside. 6. With the wok still over heat, heat more oil and add the red onions and the white parts of the scallions. Stir-fry for about a minute. Add the mushrooms, and stir-fry them for another half a minute. 7. Add a little bit more oil, followed by the sliced button and oyster mushrooms. Stir-fry for 1-2 minutes, until the fresh mushrooms are lightly browned and caramelised. Add the remaining shaoxing a rice. Immediately mix to evenly coat the rice. 10. Add the scrambled egg, and the green part of the scallions, and stir-fry for another 30 seconds. 11. Serve with Chilli Oil, Chilli Flakes, or any other garnishing. ;Asian;14;2 hours (prep), 15 minutes (cooking);recipe-book-main\Recipes\Asian\Mushroom Fried Rice.md
Soto Ayam;Chicken Breast,Rice,Bean Sprouts,Garlic,Egg,Salam Leaf,Chicken Stock,Yellow Onion,Lemongrass,Sweet Soy Sauce,Laos,Parsley,Fried Onions,Ramen Egg;500g ,250g ,125g ,4 cloves ,4 ,3 ,1.5L ,1 ,1 stalk ,3 tbsp ,1 tsp ,*,*, Boil the eggs. They should be a ;- 1.5L Chicken Stock or Vegetable Stock - 1 Yellow Onion or 2 Shallots - 1 stalk Lemongrass - 3 tbsp Sweet Soy Sauce - 1 tsp Laos  - *Parsley for garnish* - *Fried Onions for garnish]]* - 4 servings - Requirements:  - Time: 40-50 min 1. Finely chop the garlic and lemongrass, roughly chop the onion or shallots. 2. To the stock, add the garlic, onion/shallots, sweet soy sauce, ginger powder, laos, and salam leaves. 3. Add the chicken. Turn on medium heat, and let simmer for 20-30 minutes. 4. Boil the eggs. They should be a Ramen Egg consistency. 5. Remove the chicken from the stock, and pull it apart with two forks, and set aside. 6. *Cut the parsley*. 7. Boil the bean sprouts for a minute and then rinse under ice cold water. 8. To serve, take a depe plate or bowl and add rice to it until it it sufficiently full. Then, add the chicken and the bean sprouts. Mix so it is not all layers. Peel and halve an egg lenghtwise. Pour the stock over the mixture and add the egg on top. *Add the parsley and fried onion for garnish*. ;Asian;14;40-50 min;recipe-book-main\Recipes\Asian\Soto Ayam.md
Sticky Chicken Bowl;Rice,Garlic,Fresh Ginger,Light Soy Sauce,Rice Vinegar,Sweet Chilli Sauce,Corn Starch,Sesame Seed,Chicken Thigh Fillet,Broccoli,Scallions,Rice Cooker,Black Pepper;300 g ,3 cloves ,50 g ,80 ml ,3 tbsp ,4 tbsp ,2 tbsp ,3 tbsp ,400 g ,1 kg ,3 ,Requirements: 1 , Stir the egg into the rest of the corn starch in a different bowl, and add salt and ;1. Prepare the rice according to package instructions. Thinly slice the garlic and ginger. 2. In a bowl, make a sauce of the garlic, soy sauce, ginger, water, rice vinegar, sweet chilli sauce, half of the corn starch, and sesame seeds. 3. Stir the egg into the rest of the corn starch in a different bowl, and add salt and Black Pepper to taste. Slice the chicken thighs into ±3cm pieces and dip these through the egg wash mixture. 4. Cut the broccoli. Add to a colander, and put this colander in a pan with low boiling water, making sure that the underside does not touch the water. Cover with a lid and steam for ±5 minutes. > [!note] A steaming basket will also work. 5. Heat the oil in a wok and fry the egg-washed chicken in one layer in ±5 minutes on high. A sort of chicken ‘pancake’ will form, which will need to be turned about halfway. Lower the fire, and add the soy sauce mixture and stir in for two minutes. This will form a sticky sauce. 6. Cut the spring onion into thin rings, and add to the mixture.  7. Serve hot.  ;Asian;13;±30-40 minutes;recipe-book-main\Recipes\Asian\Sticky Chicken Bowl.md
Tears of Selûne;Mirin,Sake,Light Soy Sauce,Sugar,Paprika,White Fish,Oil,Rice,Scallions,Sesame Seed;1/3 cup ,3 tbsp ,3 tbsp ,2 tbsp ,1 tsp ,1 1/2 lbs ,2 tbsp ,300g ,*1 ,*1 tbsp ;1. In a medium skillet over medium heat, combine the mirin, sake, soy sauce, sugar, and paprika, and bring to a steamy simmer. Swirl the skillet to dissolve the sugar. Continue until tight, glossy, foamy bubbles cover most of the surface (~5 1/2 minutes). Remove from heat and cool for 5-6 minutes, to the consistency of a loose glaze. 2. Preheat the grill to medium-high. 3. Thread the cubed fish onto skewers. Drizzle with oil, and turn gently to coat. 4. Cook the fish skewers until cooked through and lightly charred (6-8 minutes). Just before removing from the grill, brush over with the glaze. 5. Serve with rice, and garnish with the scallion and sesame seeds. ;Asian;13;0;recipe-book-main\Recipes\Asian\Tears of Selûne.md
Chocolate Chip Cookies;Granulated Sugar,Brown Sugar,Salt,Butter,Vanilla Extract,Flour,Baking Soda,Milk,Chocolate;100 g ,165 g ,1 teaspoon ,115 g ,1 tsp ,155g ,1/2 tsp ,110g ,110g ;1. In a large bowl, whisk together the sugars, salt, and butter until a paste forms with no lumps. 2. Whisk in the egg and vanilla, beating until light ribbons fall off the whisk and remain for a short while before falling back into the mixture. 3. Sift in the flour and baking soda, then fold the mixture with a spatula. > [!warning] Be careful not to overmix, which would cause the gluten in the flour to toughen resulting in cakier cookies. 4. Fold in the chocolate chunks, then chill the dough for **at least** 30 minutes. For a more intense toffee-like flavour and deeper colour, chill the dough overnight. The longer the dough rests, the more complex its flavour will be.  ;Baking;1;0;recipe-book-main\Recipes\Baking\Chocolate Chip Cookies.md
Goldenstars;Flour,Granulated Sugar,Onion Powder,Baking Soda,Salt,Black Pepper,Oil,Sausage,Potato,Butter,Leek,Thyme,Flour,Chicken Broth,Black Pepper,Parsley,Egg wash;2 1/2 cups of ,2 tsp ,1 tbsp ,1/2 tsp ,1 tsp ,1/2 tsp ,1/2 cup ,4oz ,3/4 cup ,1 tbsp ,1 1/4 cup ,1 1/2 tsp ,1 1/2 tbsp ,3/4 cup ,Freshly ground ,1/4 cup chopped ,;1. In a large bowl, combine the flour, sugar, onion powder, baking powder, salt, and pepper. Whisk together. 2. In a medium bowl, combine the eggs, neutral oil, and water. Whisk until one homogenous mixture. 3. Add the wet mixture to the dry mixture and fold until incorporated into a dough. 4. Halve the dough onto a work surface and pat it into two six-inch disks.  5. Cover with a kitchen towel and let rest for ±1 hour.  1. Line a small plate with a paper towel and set aside. 2. In a medium nonstick skillet over medium heat, warm the neutral oil. Add the sausage and cook, stirring and breaking it into small crumbles. 3. When it no longer appears raw, transfer the sausage to the prepared plate, leaving as much fat in the skillet as possible. 4. Add the potato, water, and a pinch of salt to the skillet on medium heat and cook, covered. Stir occasionally to prevent sticking. Cook until the potato starts to soften, ±10 minutes. 5. Add the butter and let melt, coating the pan. Then, add the leek, thyme, a pinch of salt, and cook until soft, ±2 minutes. 6. Slowly add the chicken broth, stirring constantly and scraping the bottom of the skillet. Cook until thickened, about 1 1/2 minutes. > [!Hint] The texture will be quite thick, like mashed potatoes. 7. Add the reserved sausage and stir to incorporate.  8. Remove the skillet from the heat and let the mixture cool for 10 to 15 minutes. Stir in the parsley. 1. Preheat the oven to 375 degrees Fahrenheit. Line two baking sheets with parchment paper. 2. On a generously floured work surface, roll out one of the dough discs into a roughly 12-inch circle no more than 1/4 inch thick. Using a 4-inch round cookie or biscuit cutter, cut out four or five rounds. Reclaim the dough scraps. 3. Place about 1 1/2 tbsp of filling in the centre of each round. Lightly brush the edges of each round with the egg wash. Working with one at a time, form a triangle by folding three "sides" up and over the filling, leaving about 1 inch of filling uncovered. Pinch the edges together well (so they won't come apart as they bake). Place on a prepared baking sheet, about 2 inches apart. 4. Repeat steps 2 and 3 until there is no more dough remaining. 5. Bake the pastries until light golden and the filling is bubbling, ±25 minutes. 6. Let cool for ±5 minutes, then transfer to wire racks and let cool.  ;Baking;115;2-3 hours;recipe-book-main\Recipes\Baking\Goldenstars.md
Laumberry Pie;Frozen Piecrusts,Blackberries,Raspberries,Granulated Sugar,Corn Starch,Salt,Lemon,Vanilla Extract,Apple Jelly;2 ,7 cups mixed ,1 cup ,1/2 to 2/3 cups ,3 1/2 tbsp ,1/4 tsp ,1 tbsp fresh ,1/2 tsp ,1/3 cup ;1. On a floured work surface, roll out one of the pie crusts into an oval, 14x7". Cut out 7" circles, and work into a small bowl or pie plate. Cover in plastic wrap and place in the freezer for 30 minutes. 2. Preheat the oven to 350F. 3. Place the frozen dough-lined plates on a rimmed baking sheet, and line with aluminium foil and pie weights. 4. Bake the crusts until the edges are set and just beginning to turn golden (25-30 min) and remove the foil and weights. Bake for another 12 minutes. Let cool to room temperature. 5. Place 2 cups of the mixed blackberries/blueberries in a medium bowl, and set aside. 6. In a food processor, puree the remaining blackberries/blueberries until smooth. Strain through a fine mesh strainer into a saucepan, scraping and pressing on the solids to extract as much puree  as possible. Add the solids to the saucepan also. 7. In a bowl, combine 1/2 cup sugar, the corn starch, and salt. Mix this into the berry puree. 8. Set the saucepan over medium heat and bhring to a strong simmer, stirring and scraping the pan bottom constantly. Cook until the mixture is thickened and pudding-like (~20 minutes). Remove from the heat, and add the lemon juice and vanilla. 9. Meanwhile, warm the apple jelly until runny. Drizzle over the reserved blackberries and blueberries, and toss gently to coat. Add the raspberries, and toss very gently to coat and mix with the other berries. 10. Divide the puree over the pie crusts, and add the glazed berries on top. Chill for 3 hours to a day before serving. ;Baking;14;0;recipe-book-main\Recipes\Baking\Laumberry Pie.md
Loaf Pudding;Flour,Almond Meal,Baking Powder,Salt,Butter,Granulated Sugar,Egg,Vanilla Extract,Almond Extract,Yogurt,Almonds,Granulated Sugar,Salt,Vanilla Extract,Almonds Extract,Simple Syrup; 1 1/3 cup , 2/3 cup , 2 tsp , 1/2 tsp , 8 tbsp , 3/4 cup , 3 , 1 tsp , 1/2 tsp , 1/2 cup , 3 tbsp , 1/4 cup , 1 pinch , 1/2 tsp , 1/4 tsp ,[!tip] Using regular ;1. With a rack in the middle position, preheat the oven to 180°C. 2. Coat a loaf pan with nonstick cooking spray and set aside. Line a rimmed baking sheet with parchment paper, place a wire rack on top, set aside. 3. In a medium bowl, combine the flour, almond meal, baking powder, and salt; whisk to incorporate, and set aside. 4. In the bowl of a stand mixer, beat the butter and sugar until pale and fluffy, stopping to scrape down the sides of the bowl with a flexible spatula once or twice. Add the eggs one at a time, beating well after each addition. Add the vanilla and almond  extract, beat well, and scrape down again. 5. Add about 1/3  of the flour mixture, followed by 1/2 of the yogurt, mixing after each addition until just incorporated. Repeat. 6. Add the remaining flour mixture, and mix until the batter is smooth. > [!warning] Be careful not to overmix. 7. Using a flexible spatula, scrape the batter into the loaf pan, smooth the top, and sprinkle the almonds down the centre. Bake the loaf until the top is browned, the edges begin to pull away from the pan, and a toothpick comes out clean (±45 minutes), rotating the pan halfway through. Let cool for about 8 minutes. 8. Carefully turn the loaf out onto the rack and set right-side up. 9. In a small saucepan over medium heat, combine the sugar, water, and salt and bring to a steamy simmer, dissolving the sugar. Continue simmering until glossy bubbles develop and the liquid is slightly thickened. Let the syrup cool to room temperature, add the vanilla and almond extract, and swirl to incorporate. > [!tip] Using regular Simple Syrup saves a little bit of time, as you do not have to combine the sugar, water and salt. 10. While the loaf is still hot, use a long skewer to poke deep holes on its bottom and sides, as well as along both sides of the almonds on top. Brush the syrup over the holes all over the loaf, allowing it to be absorbed. Return the loaf to the rack to cool to room temperature. Slice and serve. ;Baking;11;0;recipe-book-main\Recipes\Baking\Loaf Pudding.md
Onion Loaf;Butter,Neutral Oil,YellowOnion,Leek,Flour,Flour,Onion Powder,Baking Powder,Baking Soda,Buttermilk,Scallions,Brown Sugar;5 tbsp ,1 1/2 tsp ,1 medium ,1 ,2 cups ,1 cup ,1 1/2 tbsp ,2 1/2 tsp ,1/2 tsp ,3/4 cup ,3/4 cup ,[!todo] ;1. In a small skillet over medium heat, melt 1 tbsp of butter with the neutral oil. Add the onion and 3/4 tsp salt, and cook, stirring occasionally, until the onion is translucent and starting to soften. Add the leek and cook, stirring occasionally, until softened (~3 minutes). Set aside to cool. 2. Melt the remaining butter. Remove from the heat, and pour 1 tbsp of the melted butter into an oven dish. Coat the inside of the dish with a pastry brush.  3. In a large bowl, combine both flours, the onion powder, baking powder, baking soda, and 1 1/4 tsp of salt. 4. In another large bowl, whisk together the eggs, the brown sugar, and buttermilk. 5. Add the dry mixture to the wet mixture, and fold/stir until neatly incorporated. Add the reserved melted butter and the scallions, and continue to fold in until the ingredients form a lumpy dough. 6. Scrape the dough into the prepared dish, shape into an 8-inch log, and spread the onion mixture from step 1 on top, pressing in to adhere. 7. Bake the loaf until it is firm to the touch on the top, and a toothpick inserted into the center comes out clean. This should take about 45-50 minutes, and rotated halfway through.  8. Let cool for about 10 minutes in the dish, then on a wire rack/cutting board to cool to room temperature.  ;Baking;1;0;recipe-book-main\Recipes\Baking\Onion Loaf.md
Sour Cream Walnut Cake;Flour,Granulated Sugar,Brown Sugar,Cinnamon,Salt,Walnuts,Butter,Walnuts,Flour,Espresso,Baking Powder,Baking Soda,Cinnamon,Salt,Sour Cream,Neutral Oil,Vanilla Extract,Granulated Sugar,Brown Sugar;1/3 cup ,1/4 cup ,1/4 cup ,1/2 tsp ,1/4 tsp ,2/3 cup ,5 tbsp ,1 cup ,2 cups ,2 1/2 tsp ,1 1/2 tsp ,1/2 tsp ,3/4 tsp ,1 tsp ,1 cup ,1/2 cup ,1 1/2 tsp ,1/2 cup ,2/3 cup ;1. Preheat the oven to 350F. 1. In a food processor, combine the flour, the sugars, cinnamon, and salt. 2. Scatter the walnuts on top and drizzle the melted butter over the mixture. Pulse until the mixture begins to resemble a wet, coarse sand.  3. Scrape the mixture onto a plate, and refrigerate it for 20 minutes. 1. In a food processor, pulse the walnuts with 1/4 cup of flour, until the walnuts are coarsely ground. 2. Pour the walnut mixture into a medium bowl, add the remaining flour, the espresso powder, baking powder, baking soda, cinnamon and salt, and whisk to combine. 3. In a large bowl, whisk the eggs until uniform. Add the sour cream, oil, and vanilla, and whisk vigorously to combine. 4. Add the dry ingredients to the wet ingredients, and fold until no pockets of dry ingredients remain. Pour into a cake pan and smooth the top. 5. Sprinkle the topping evenly over the surface. 6. Bake until the top is lightly browned and a toothpick inserted into the centre comes out clean, about 40-45 minutes, and rotate halfway through. 7. Let cool to room temperature before cutting and serving.  ;Baking;1;0;recipe-book-main\Recipes\Baking\Sour Cream Walnut Cake.md
Talyth;Flour,Cheese,Onion Powder,Thyme,Corn Starch,Salt,Black Pepper,Cayenne Pepper,Butter,Milk,Sausage;1 3/4 cups ,1 1/2 cups finely grated ,1 1/2 tbsp ,1 1/2 tbsp ,1 tbsp ,1 1/2 tsp ,1 tsp ,1 pinch ,8 tbsp very cold ,1/4 cup ,1 four-inch piece of ;1. In a food processor, combine the flour, cheese, onion powder, thyme, cornstarch, salt, pepper and cayenne, and process for about 15 seconds. Scatter the butter slices over the flour mixture and pulse to cut the butter into the flour until the mixture has the texture of wet sand. 2. With the motor running, add the milk through the feed tube and process until a dough just comes together. > [!Warning]  > Do not overprocess! It'll turn the sandwiches way too brittle. 3. Transfer the dough to a work surface and knead, if necessary, a couple of times to bring it together. Divide the dough in half, and roll each half into a log measuring about 2 1/2 inches in diameter and 3 inches long. 4. Wrap each log with plastic and refrigerate until very firm, at least 2 hours, or up to 3 days.  5. Preheat the oven to 350 degrees Fahrenheit. Line two baking sheets with parchment paper and set aside. 6. Unwrap the dough logs and, using a serrated knife, cut into thirty 1/4 inch thick rounds, giving them a quarter turn between each cut to help preserve the cylindrical shape. Arrange the dough shapes on the prepared baking sheets about 1/2 inch apart. Place one slice of sausage onto each slice of dough, pressing to help it adhere. 7. Bake the talyth until lightly browned around the edges and on the bottom, ±26 minutes, swapping and rotating the baking sheets halfway through.  8. Remove the sheets from the oven and, working quickly, use the underside of a dinner fork to gently press the sausage slices again so they adhere to the dough. 9. Let cool to room temperature before serving.  ;Baking;1;0;recipe-book-main\Recipes\Baking\Talyth.md
Trencher Bread;Flour,Cornmeal,Salt,Baking Powder,Baking Soda,Milk,Olive Oil,Oil;3 cups ,1/4 cup ,2 1/2 tsp ,2 1/2 tsp ,1/2 tsp ,1 1/4 cup ,1/3 cup ,3 tbsp ;1. Lightly flour a work surface. 2. In a large bowl, combine the flour, cornmeal, salt, baking powder, and baking soda, and whisk to incorporate. Make a well in the centre, and add the milk and olive oil. Incorporate. 3. Scrape the dough onto the work surface, and knead until smooth and uniform. > [!hint] Dust the dough with flour if it gets too sticky. 4. Divide the dough into 4 (roughly) equal portions. Gently roll each portion into a ball, cover, and let rest for 15 minutes. 5. Preheat the oven to 125F. 6. Using a rolling pin, roll out the dough balls into a circle with an 11-inch diameter. 7. In a slightly larger pan, warm 2/3 of the oil until hot over medium heat. Carefully place the dough circle in the skillet, and cook undisturbed for 3-4 minutes. Flip, and repeat.  8. Transfer to an ovenproof plate, and place in the oven to keep warm.  9. Repeat with the remaining rounds, and adjust oil and heat if necessary to avoid burning. ;Baking;14;30;recipe-book-main\Recipes\Baking\Trencher Bread.md
Coq à la Bière;Chicken Leg,Chestnut Mushrooms,Bacon,Shallots,Garlic,Beer,Bay Leaves,Carrot,Stock Cube,Thyme,Salt;1.5 kg ,250g ,125g ,5 ,3 cloves ,660ml ,2 ,1 ,1 ,Fresh , Sprinkle the chicken legs with ;- 1.5 kg Chicken Leg - 250g Chestnut Mushrooms - 125g Bacon - 5 Shallots - 3 cloves Garlic - 660ml Beer - 2 Bay Leaves - 1 Carrot - 1 Stock Cube - Fresh Thyme - 4 servings - Requirements: - Time: 30 min prep, 90 min waiting 1. Sprinkle the chicken legs with Salt and Black Pepper. Heat some Butter, and brown the chicken on medium high heat. Remove from the pan and set aside. 2. Remove excessive fat, and fry the bacon bits for a couple of minutes. Meanwhile, slice up the mushrooms and carrot, halve the shallots, and mince the garlic. 3. Add the mushrooms and carrot to the bacon. When these are browned, add the shallots and garlic, and mix. 4. Pour in the beer along with one crumbled chicken stock cube, the bay leaves, and a few sprigs of thyme. Bring to a boil, and add the chicken. Put on a lid, and let simmer on low medium heat for about 90 minutes. 5. Remove the chicken from the pan and set aside. Remove the thyme sprigs and the bay leaves. Let the remaining liquid simmer on high heat for about 10 minutes to thicken the sauce. Re-add the chicken and make sure the chicken is hot before serving. ;French;14;30 min prep, 90 min waiting;recipe-book-main\Recipes\European\French\Coq à la Bière.md
Steak au Poivre;Cognac,Fillet Steak,Four Season Pepper,Oil,Butter,Crème Fraîche;4 tbsp ,4 ,4 tbsp ,1 tbsp ,50g ,125ml ;1. Pour the cognac into a deep plate or bowl, along with the fillet steaks, and let marinate for 5 minutes. 2. In a mortar and pestle, crush the peppercorns. When this is done, season the steaks with the pepper. 3. In a skillet, heat the oil and half of the butter. When the foam is almost subsided, sear the steak on high heat for 1 minute per side. Lower the heat and sear for 1-2 minutes longer per side. 4. Take the meat out of the pan, and wrap in aluminium foil. Throw away the frying liquids. 5. Add the cognac to the pan. Add the crème fraîche, and warm up for a little bit.  6. Turn the heat off, and mix in the remaining butter.  ;French;14;0;recipe-book-main\Recipes\European\French\Steak au Poivre.md
Creamy Macaroni with Chicken & Mushrooms;Pasta,Olive Oil,Minced Chicken,Garden Peas,Cream Cheese with Herbs,Black Pepper;300 g ,2 tbsp ,300 g ,200 g ,150 g , Add the macaroni and add salt and ;1. Cook the macaroni al dente according to package instructions. 2. Heat the oil in a pan and fry the chicken mince on medium-high heat. Add the [roerbakgroente] and garden peas and heat for 4 minutes. 3. Add the cream cheese and warm for 2 more minutes. 4. Add the macaroni and add salt and Black Pepper to taste.  ;Italian;13;±30 minutes;recipe-book-main\Recipes\European\Italian\Creamy Macaroni with Chicken & Mushrooms.md
Fried Gnocchi with Peas & Garlic Butter;Olive Oil,Gnocchi,Shallots,Lemon,Garden Peas,Cream Cheese with Herbs,Homemade Garlic Butter,Black Pepper;4 tbsp ,800g refrigerated ,3 ,1 ,450 g ,200 g ,[!tip] , Add the garlic spread and the water, stir, and heat for ±3 minutes. Add ;1. Heat 3/4 of the olive oil in a large pan and fry the gnocchi for 5 minutes on high heat, followed by 10 minutes on medium-high heat. They should be a golden yellow and crispy after this. 2. While the gnocchi is frying, cut the shallots into thin rings. Zest the lemon. 3. Heat the rest of the olive oil in a pan and fruit the shallots for ±5 minutes. Add the garden peas and fry for 2 more minutes. Stir regularly. 4. Add the garlic spread and the water, stir, and heat for ±3 minutes. Add Black Pepper and salt to taste. 5. Add the gnocchi to the sauce mixture, along with 3/4 of the lemon zest. *Use the rest of the lemon zest as garnish.* 6. Serve hot.  > [!tip] For a spicy kick, you can also add chilli flakes as extra garnishing.  ;Italian;13;±30 minutes;recipe-book-main\Recipes\European\Italian\Fried Gnocchi with Peas & Garlic Butter.md
Garlic Butter Chicken Orzo;Chicken Thigh Fillet,Paprika,Salt,Garlic Powder,Black Pepper,Onion Powder,Thyme,Chestnut Mushrooms,Garlic,Butter,Orzo,Chicken Broth,Parsley,Cheese,Chive Butter;600g ,3/4 tsp ,1/2 tsp ,1/2 tsp ,1/2 tsp ,1/4 tsp ,1/4 tsp ,250g ,6 cloves ,3 tbsp ,400g ,1.125L ,1 bunch ,50g , Serve with ;- 1.125L Chicken Broth - 1 bunch Parsley - 50g Cheese - 4 people - Requirements: 1 pan, 1 pot, 1 bowl, cutting board - Time: ±30-40 minutes 1. Season both sides of the thighs with paprika, onion & garlic powder, thyme, salt and pepper. 2. Heat 1/3 of the butter in a large deep pan or pot over medium-high heat. Add the thighs and fry both sides until golden and cooked right through the centre. As the thighs cook, slice the mushrooms and finely dice the garlic. 3. Remove the thighs and keep warm in a bowl covered in foil. Add the mushrooms to the leftover fat and fry until golden. Push towards the outside of the pan, melt in 1 tbsp butter, then add the garlic. After about half a minute, stir in the orzo and stock. 4. Bring to a simmer and cook until the orzo is al dente and wrapped in a glossy sauce, stirring occasionally. Meanwhile, dice the parsley and chives, and grate the parmesan. 5. Once the orzo is cooked, stir in the parmesan, parsley, and the resting juices from the chicken. Finally, stir in the final tablespoon of butter.  6. Serve with Chive Butter and half a Lemon as optional garnish.  ;Italian;14;±30-40 minutes;recipe-book-main\Recipes\European\Italian\Garlic Butter Chicken Orzo.md
Gremolata;Parsley,Lemon,Garlic,Olive Oil,Salt;40g ,1 ,1 clove ,3 1/2 tbsp ,;1. Remove the thick stems from the parsley. Roughly chop the remaining stems and leaves. 2. In a bowl, mix the parsley, lemon zest and juice, the olive oil, and salt to taste. 3. Mix thoroughly. ;Italian;1;10 minutes;recipe-book-main\Recipes\European\Italian\Gremolata.md
Homemade Pesto;Cheese,Sweet Basil,Pine Tree Nuts,Garlic,Olive Oil;30g ,30g ,2 tbsp ,2 cloves ,~75 ml ;1. Add all the dry ingredients to the mortar & pestle. Grind until it is a fine paste. 2. Add olive oil and salt to bind the mixture together. Grind until mixed thoroughly.  ;Italian;13;10 minutes;recipe-book-main\Recipes\European\Italian\Homemade Pesto.md
Oven Risotto with Bacon & Leek;Bacon,Leek,Rice,Vegetable Stock,Garden Peas,Crème Fraîche,Black Pepper;200g ,3 ,300g ,750ml ,225g ,125g , Add the garden peas and crème fraîche to the risotto, and put back in the oven for five more minutes. Add ;1. Preheat the oven to 180°C. 2. Fry the bacon bits in a pan for 5 minutes in an already-hot pan. Meanwhile, halve the leeks, wash them, and cut into half-rings.  3. Add the leek to the bacon bits and fry for 5 minutes on low heat. 4. Add the rice, and cook for 2 minutes until the grains turn glassier. 5. Move the current mixture to an oven dish, and add all of the vegetable stock. Put in the oven for 35 minutes. 6. Add the garden peas and crème fraîche to the risotto, and put back in the oven for five more minutes. Add Black Pepper to taste.  ;Italian;13;~1 hour;recipe-book-main\Recipes\European\Italian\Oven Risotto with Bacon & Leek.md
Oven Risotto with Pancetta & Mushrooms;Pancetta,Butter,Chestnut Mushrooms,Mushroom Stock,Dried Mushrooms,Rice,Crème Fraîche,Parsley,Cheese;160 g ,25 g ,800 g ,1 1/2 ,2 tbsp ,250 g ,200 g ,75 g ,50 g ;1. Heat the butter and fry the pancetta for 3 minutes. While frying the pancetta, quarter the mushrooms. Add the mushrooms to the pancetta and fry for 5 more minutes on high heat. 2. Add the stock and dried mushrooms, together with the boiling water, to a bowl and let the stock cubes dissolve. 3. Add the risotto rice to the pancetta and fry for 3 minutes on low heat until the grains are glassy. 4. Mix the stock/mushroom mixture and the pancetta mixture in the oven dish, and put in the oven on 180°C for 40 minutes. After 35 minutes, take out of the oven and add the crème fraîche, and put back in the oven for 5 minutes. 5. Finely slice the parsley. Take the risotto out of the oven, and mix in the cheese and 3/4 of the parsley. 6. Garnish with the remaining parsley, and serve hot.  ;Italian;13;0;recipe-book-main\Recipes\European\Italian\Oven Risotto with Pancetta & Mushrooms.md
Pasta Aglio e Olio;Pasta,Garlic,Olive Oil,Chilli Flakes,Parsley,Cheese;500g ,6 cloves ,120ml ,1 tsp ,3 sprigs ,;1. Bring a large saucepan of water to a boil with salt. Cook the spaghetti al dente, stirring occasionally. 2.  Put the garlic in a cold pan with the olive oil. Turn on medium high heat, and lower it to medium once the oil starts to bubble. Fry until the garlic is a golden brown, and remove from heat. 3. Drain the pasta. 4. Stir the chilli flakes through the pasta. 5. Mix the olive oil and garlic mixture into the pasta. ;Italian;1;0;recipe-book-main\Recipes\European\Italian\Pasta Aglio e Olio.md
